review_text,review_stars_val,04_category_text
,5,National museum
,5,National museum
,5,National museum
I learn abour singapore history at the national museum,5,National museum
"(Translated by Google) Want to know the history and history of Singapore, recommend it here. ?More(Translated by Google) Want to know the history and history of Singapore, recommend it here.

Hours of operation: open every day from 10:00 a.m. - 7:00 p.m.
Admission: Adults 10 SGD / Children 5 GSD.

(Original)
?????????????????????????????????????????????????????????????

???????????-???:ÿ?????????????? 10.00 ? 19.00 ?.
??????????????:ÿ????????????? 10 SGD / ???? 5 GSD",5,National museum
"Very good place to learn the history and culture of Singapore. Free access to student pass holders and locals, others need purchase tickets.",5,National museum
,4,National museum
The place is very nice with the doraemon exhibition. We are able to take pictures without touching the design but was unable to use our own selfie stand which are contactless to anyone else other than us.,3,National museum
Beautiful building! We spent 2 hours here going through all exhibits. It?s really cool how they demonstrate history! Suitable to go with friends or even dates:),5,National museum
,4,National museum
,5,National museum
"2021, Aug 02, one week before National Day",4,National museum
,5,National museum
"It's nice to have doraemon in every corner, so we walk around museum while looking for doraemon",5,National museum
Very informative and well organized galleries that showcases the history of Singapore,5,National museum
Lots of greenary to chill lax with Fort Canning Park nearby. Accessible via MRT and public buses and there are many shopping centres nearby.,4,National museum
,5,National museum
"It is a great place to bring your family to visit especially for kids to see and know olden Singapore. by the way, it free for Singapore when I visited on National Day.",5,National museum
,5,National museum
,4,National museum
,5,National museum
Interesting exhibition if you haven't been there before otherwise nothing really new. Exhibition about Singapore history could be more in-depth and informative.,4,National museum
Great works done to our historical facts.,5,National museum
,4,National museum
"Clean place, great exhibits!",5,National museum
,5,National museum
Faster come Singapore museum visit your small cutie blue Doraemon time travelling exhibition till 27  December 2020????Miss it at your own risk??. Nearest Mrt station is DT21 Bencoolen,5,National museum
,5,National museum
,5,National museum
Always be the perfect place to viait,5,National museum
A good place to go if you have some free time to spare,3,National museum
Lovely place free for SG citizens and PRs.,5,National museum
Is fantastic to visit. Especially for our own local citizens. Lots of facts of the SINGAPORE HISTORY on the move from it's existence to now.,5,National museum
A lot to visit over here and it is FOC!,5,National museum
,5,National museum
,4,National museum
,5,National museum
"I love to visit national museum of Singapore,  last visit was went to see the doreamon, convenient and accessible place.",5,National museum
"My fav museum in Singapore. went for the ?home truly? exhibition, and it?s really an eye opening for me to learn more about the Singapore history. it goes super in-depth of the Singapore history from 1950s to the present and can?t be found in your social studies textbook!!",5,National museum
"We got wonderful experience. Huge museum of Singapore historical collections, as you expected from a museum. Clean, nicely decorated and beautiful building too. Good for those who love and curious about history; especially Singapore ?MoreWe got wonderful experience. Huge museum of Singapore historical collections, as you expected from a museum. Clean, nicely decorated and beautiful building too. Good for those who love and curious about history; especially Singapore national history. Good for all kind of visitors, with family, couple, friends or alone. But you might expect walking a bit because of the vast building.",5,National museum
,5,National museum
Love the ambience at food for thought!!!,5,National museum
,5,National museum
,4,National museum
Free for Singaporean. Should go.,4,National museum
Interesting place to visit.,4,National museum
nice doraemon expo...all time favorite,5,National museum
Excellent place. Rich historical facts! A must visit!,5,National museum
,5,National museum
Engaging. Thank you for being so thoughtful on the activities and exhibits.,5,National museum
,5,National museum
,5,National museum
The best,5,National museum
,5,National museum
,5,National museum
,5,National museum
,5,National museum
If you were interested how singapore progress till today and what happens during the Japanese occupation. Come to the museum. You will surely love it.you can learn any other than history. Like doremon cartoon exhibition.kids really like the character.,5,National museum
,5,National museum
Amazing,5,National museum
,5,National museum
Great museum,5,National museum
"(Translated by Google) It is a good place to learn about the history of Singapore. ?More(Translated by Google) It is a good place to learn about the history of Singapore.

(Original)
???????????????",4,National museum
,5,National museum
Really interesting and gives you the vibe,5,National museum
,5,National museum
"I learnt a lot the modern history of Singapore. The demonstrative materials are well organized in both words and videos, even with some game.",4,National museum
"(Translated by Google) Have the opportunity to visit the National Museum of Singapore. In the night as well At that time, it was the ""night at the museum"" event, which allowed free admission. The interior is beautifully decorated. And there ?More(Translated by Google) Have the opportunity to visit the National Museum of Singapore. In the night as well At that time, it was the ""night at the museum"" event, which allowed free admission. The interior is beautifully decorated. And there is an exhibition that contains interesting knowledge Which shows the history of Singapore through various dimensions, especially the appliances and costumes Combined with the mixed media presented This makes the museum another point worth visiting. And record Singapore's past in memories through stories at this place
.
We have the opportunity to visit the National Museum of Singapore. In the night as well At that time, it was the ""night at the museum"" event, which allowed free admission.
The interior is beautifully decorated. And there is an exhibition that contains interesting knowledge Which shows the history of Singapore through various dimensions, especially the appliances and costumes Combined with the mixed media presented This makes the museum another point worth visiting. And record Singapore's past in memories through stories at this place.

(Original)
????????????????????????????????????????????????? ?????????????????? ???????????????????????? ""night at the museum"" ????????????????????????????? ??????????????????????????????? ?????????????????????????????????????????????? ?????????????????????????????????????? ???????????? ? ???????????????????????????????????????????????? ????????????????????????? ???????????????????????????????????????????????????????? ???????????????????????????????????????????????????????????????????????
.
We have the opportunity to visit the National Museum of Singapore. In the night as well At that time, it was the ""night at the museum"" event, which allowed free admission.
The interior is beautifully decorated. And there is an exhibition that contains interesting knowledge Which shows the history of Singapore through various dimensions, especially the appliances and costumes Combined with the mixed media presented This makes the museum another point worth visiting. And record Singapore's past in memories through stories at this place.",5,National museum
"I have not been to the National Museum for over 20 years now. It was a nice surprise when I stepped in yesterday. For a start, Singaporean and PR are given free entries! Yeah ! I am especially thrilled to view the ?Truly Home? exhibition. ?MoreI have not been to the National Museum for over 20 years now. It was a nice surprise when I stepped in yesterday. For a start, Singaporean and PR are given free entries! Yeah ! I am especially thrilled to view the ?Truly Home? exhibition. It literally brought me back into time! The old gas cooker stove, courtesy campaigns, old hdb flats etc ( the school report card that was on displayed had a very poor student results !! I was so amused they they put weak student grades on display ! Hahah).

Overall, the whole museum is a great place to feel the history of Singapore. I did. PT know they Temasek was actually a word translated from chinese instead of Malay!

Go see the museum ! Go feel like a true Singaporean of the past !!!",5,National museum
,4,National museum
,5,National museum
,5,National museum
Good stuff.,5,National museum
Good to get a glimpse into Singapore's history. Some exhibits are closed due though.,4,National museum
Visited for the exhibition on Pandemic and Truly Home. A good experience to walk through the short but rich history of Singapore. Love the effort to include real life accounts and engaging locals to interviews for a perspective from their ?MoreVisited for the exhibition on Pandemic and Truly Home. A good experience to walk through the short but rich history of Singapore. Love the effort to include real life accounts and engaging locals to interviews for a perspective from their point of view. How people in different walks of life came through the tumultuous times of Singapore's past and most recently the Covid-19 pandemic. A really fascinating day out. We didn?t get to see the whole thing so we will be going back. Lots of insight in to Singapore?s history.,5,National museum
,5,National museum
,5,National museum
"My sister artwork is there in the exhibition, ""Picture The Pandemic"". Very cool, go check it out. Adar Ng",4,National museum
,5,National museum
A building that had stood the test of time!,5,National museum
,4,National museum
,5,National museum
"Lovely place for a rainy day!
Being a jacket as it?s freezing inside during a rainy day.",5,National museum
,4,National museum
Place of history. Remembrance the originality of our roots...development from nul to something. ??????????,5,National museum
,3,National museum
"Well maintained and managed museum. Interesting content for exhibition. Very picturesque to take beautiful architecture. ?MoreWell maintained and managed museum. Interesting content for exhibition. Very picturesque to take beautiful architecture.

Their current special exhibition at B1 contain interactive galleries, some display even current event like how covid-19 had affected to all walks of life in Singapore.",5,National museum
Nice experience and a good place to spend time to learn about the history and current affairs.,5,National museum
,3,National museum
Remember to scan the interactive QR code to and key in the code to enjoy the detail description. Best to have a scan screen app to translate the text to speech to make your vieiwing more enjoyable. Bring along a Bluetooth earpiece/ speaker to let it read to you,4,National museum
,5,National museum
One of the best places to learn Singapore history.,5,National museum
,4,National museum
,5,National museum
Awesome .,5,National museum
"You better watch out
You better not cry
You better not pout ?MoreYou better watch out
You better not cry
You better not pout
I'm telling you why
Doraemon is coming to town",5,National museum
Security guard went beyond his call of duties to even shelter visitors to the cars during a downpour. #Respect#,5,National museum
Liked it.,4,National museum
Great place to know about the history of Singapore.,5,National museum
,5,National museum
,5,National museum
Spent the weekend here! Great photos taken :),5,National museum
loved the hunt for doraemon and getting the collectible after answering the questions at every station,5,National museum
"Very spacious museum.
You can learn about the history of Singapore and you can go there at least once.",3,National museum
,3,National museum
,5,National museum
,3,National museum
,5,National museum
Great museum. A must to visit.,5,National museum
,5,National museum
My everyone problem now accepting,5,National museum
"Great museum, extensive exhibitions of Singapore history, ancient and contemporary. Highly recommended.",5,National museum
Nice clean and fun !,5,National museum
Get to know Singapore history,5,National museum
,5,National museum
,4,National museum
"(Translated by Google) Chef Stella Tan

(Original)
Chef Stella Tan",3,National museum
Free for Singaporean. You can visit each hall to know more about the history of our country.,5,National museum
"Home,  Truly was truly some exhibition never had before - the interactive stylus pen which allows you to answer societal questions that make you knock your brains and think through your heart. Admissions are free for Citizens and PR!  The ?MoreHome,  Truly was truly some exhibition never had before - the interactive stylus pen which allows you to answer societal questions that make you knock your brains and think through your heart. Admissions are free for Citizens and PR!  The physical food-for-thoughts leaflets to hang on the board goes back to the past when we had hanged them at the back of the class board    Definitely recommend!",5,National museum
,5,National museum
"(Translated by Google) In addition to expensive tickets. all is well

(Original)
???????????",5,National museum
,5,National museum
This is the best place if u want to learn about the Singapore History through out the year ?beginning until modern era? its only 13 dollar so go ahead and learn sth new,5,National museum
Came to check this Doraemon but sadly they are all inside the fence so cannot get closer look and take pictures with them :(,4,National museum
We were fortunate to join a guided tour. We had a good time of learning.,4,National museum
I grew up watching Doraemon. This moment reminds me how I enjoyed growing up with my siblings. You are free to take photo outside the museum and free admission for PR and Singaporean inside the museum. To pay 15sgd for foreigners. This is a ?MoreI grew up watching Doraemon. This moment reminds me how I enjoyed growing up with my siblings. You are free to take photo outside the museum and free admission for PR and Singaporean inside the museum. To pay 15sgd for foreigners. This is a great place for everyone to bring your kids and take a photo with Doraemon. A quality time to enjoy with your families??Last day is 27th December. Must Come!,5,National museum
"(Translated by Google) It was a very beneficial time to make a docent reservation and listen to the explanation. ?More(Translated by Google) It was a very beneficial time to make a docent reservation and listen to the explanation.

(Original)
??? ??? ?? ????? ???? ?? ?? ??? ?????.",5,National museum
,4,National museum
,5,National museum
,5,National museum
Good for young children..less crowded coz of covid-19..,5,National museum
,5,National museum
,4,National museum
Nice museum,5,National museum
Not enough doraemon,3,National museum
"(Translated by Google) The museum I want to go back to... It was a very nice building and it felt like it was from a movie. ?More(Translated by Google) The museum I want to go back to... It was a very nice building and it felt like it was from a movie.

(Original)
?? ???? ???...?? ?? ???? ???? ?? ?? ??????.",5,National museum
,4,National museum
Awesome place! Really one of the best museums in singapore for people to learn about Singapore?s history. And learn about what we did in the past and how we struggled through,5,National museum
,5,National museum
"There are some permanent exhibits, where the national history of Singapore become the must-go exhibit as a start. Some smaller rooms are available to see, including the circular rotunda with amazing projection show. It has a decent cafe and souvenir shop, completed with a multi-purpose hall for rent.",5,National museum
,5,National museum
,4,National museum
,5,National museum
Exhibition that shows the country history in her early struggles for Singaporean we can all relate to it ??,4,National museum
"Nice museum to check Singapore history.

I personally love sitting outside the museum and enjoying the view. It's beautiful",4,National museum
,5,National museum
,5,National museum
,5,National museum
,5,National museum
,4,National museum
,5,National museum
,4,National museum
,5,National museum
Museum has lots of activities and talks alot about Singapore history. There's currently a doraremon event too,5,National museum
Entrance is free. Good to understand Singapore history and the place is nice,5,National museum
,5,National museum
,5,National museum
Right place for those who like to know the history of Singapore especially ruled by Japan.. you need to check through their web site to get the latest event information. We went there because of Doraemon event..,5,National museum
,5,National museum
,4,National museum
,5,National museum
,4,National museum
,5,National museum
,5,National museum
,5,National museum
Wonderful time travelling with Doraemon,5,National museum
Place to explore the culture and heritage,5,National museum
,5,National museum
Cultural and historical data are alive,5,National museum
,5,National museum
"(Translated by Google) Unlike other museums, there are not many physical things, and they are all introduced by video. ?More(Translated by Google) Unlike other museums, there are not many physical things, and they are all introduced by video.

(Original)
???????????????????????????",3,National museum
,4,National museum
Great way to revisit SG memory lane. The staff were helpful and friendly and a laidback atmosphere,5,National museum
Nice place to spend a whole afternoon to understand Singapore history. There are also special exhibits for visit. Do keep a watch out for it!,5,National museum
"It's such a nostalgic experience for me visiting National Museum of Singapore!
My childhood favourite cartoon character, Doraemon; my childhood toys; favourite weekend activity - Jurong Open carpark Movie place... Etc...
I get to explain to them how my childhood was like...",5,National museum
Nice,5,National museum
"The Doraemon exhibition isn't much (I'd recommend if you have children), but the museum is still worth the visit :)",4,National museum
,5,National museum
I had two years of employment in Singapore. And I love art and history. This museum is....more than great! I loved it. I visited it three times. With and without audio-guide. Alone and in company. So OVERWHELMING!,5,National museum
,4,National museum
"(Translated by Google) You can enjoy history comfortably. The old historical relics are decorated with new technology, the decoration is very careful, and the exhibition area is large. ?More(Translated by Google) You can enjoy history comfortably. The old historical relics are decorated with new technology, the decoration is very careful, and the exhibition area is large.

(Original)
?????????????????????????????????",4,National museum
,5,National museum
"A quaint museum showcasing Singapore's history, from pre colonial times to the present.
A great way to spend an afternoon away from a screen. International students from most schools get a free entry so please take your ID cards.",4,National museum
,5,National museum
Extensive collection for an immersive visit. Give yourself at least 3-4hrs to fully experience all the galleries at a relaxed pace.,5,National museum
,5,National museum
Great place to revise and know more about the history of Singapore.,5,National museum
Great place to see Singapore history. High standard museum and very organize. Professional staffs are very helpful. Cleanliness is great. High Alot of historic stuff that we can see and check it out. Lighting setup for full forest experience. Highly recommended!,5,National museum
,5,National museum
,4,National museum
"Great exhibition of singapore history. They have free tour with very friendly guide ( 11 am). The staff working here is very nice too. The restaurant had nice food, a bit pricy but delicious!",5,National museum
A repository of Singapore's history and we'll curated exhibitions to strengthen our social defence. Strongly recommended for families as my kids loved it too!,5,National museum
"The Story of the Forest exhibition at the glass rotunda was the best exhibit we viewed on our visit. It was a wonderful immersive art experience, especially given that it is developed by teamlab. Very enjoyable for all ages. I liked the ?MoreThe Story of the Forest exhibition at the glass rotunda was the best exhibit we viewed on our visit. It was a wonderful immersive art experience, especially given that it is developed by teamlab. Very enjoyable for all ages. I liked the Very Old Tree exhibit that the story of the forest exited into. The anecdotes alongside the photographs were interesting to read. The Doraemon interactive quiz (?get curious?) through the Singapore History Gallery was also a fun initiative for my young cousin to take part in. The Singapore History Gallery is a bit long to walk through though and may be tiring for some children.

Pictures below are all from the Story of the Forest exhibition.",5,National museum
,5,National museum
"(Translated by Google) Love the museums in Singapore

(Original)
??????????",5,National museum
,4,National museum
"Wonderful staff, delightfully spacious!",5,National museum
"Nice place. Set meal selection is good. Food is quite tasty. However, I do not feel totally welcome in this place. Probably is just me. But given a choice, I will go to other places for celebration.",4,National museum
It's a very attractive and educative place for new generation and blood sheed memories during our hard times during independent year!,4,National museum
,5,National museum
,5,National museum
It was a good experience to learn about history of Singapore.,4,National museum
,4,National museum
Nice museum. You learn a lot. Also beautiful places to chill out after a hard day.,5,National museum
,4,National museum
"Was there for the home, truly exhibition. It was very enriching and can see the efforts made. It is worth a trip to go down the memory lane and perhaps it can bring new light to whatever you have in mind...and what is there not to like if there is aircon in such a hot country haha",4,National museum
"Although i'm a local born and raised here, it was my first time visiting the museum. All i can say it was an eye opener for me and i'm sure foreigners would even enjoy it better than me.",4,National museum
"Nice great exhibits, especially for those who love old artifacts, friendly security staff, but can't say the same for their temporary staff, especially those managing the queue at indoor Doraemon exhibit. If you go at the wrong time you'll ?MoreNice great exhibits, especially for those who love old artifacts, friendly security staff, but can't say the same for their temporary staff, especially those managing the queue at indoor Doraemon exhibit. If you go at the wrong time you'll encounter one young male with curly hair who is rude and sarcastic to the visitors as though they shouldn't be in the museum. Visited thrice this month, experience was spoilt by the rude young chap today.",4,National museum
rich history of Singapore from pre colonial to modern can be found here,5,National museum
,5,National museum
Nice,5,National museum
Has being coming here regularly,5,National museum
,5,National museum
Nice place to share the growing up of Singapore. A lot of good memories that make me appreciate Singapore more. Definitely good place to look back on Singapore memories. Good effort!,4,National museum
,5,National museum
,5,National museum
One of my favourite Museum. There is regular update of exhibition.,5,National museum
"As usual, one of the best museums in asia.",5,National museum
,4,National museum
,5,National museum
,5,National museum
,5,National museum
"A perfect place to learn more about the history of Singapore. Quite a peaceful place as well, not much noise or loud music, only have certain sound effects at the different galleries.",5,National museum
,5,National museum
,5,National museum
Please go and have fun!,5,National museum
"Very interactive, informative and well done. Good tour guide. Not too many historic artifacts, but good exhibits to get an idea of Singapore's history.",5,National museum
,5,National museum
,4,National museum
,5,National museum
,5,National museum
The concierge is very polite and friendly.,5,National museum
Historical event in Singapore before and after worldwar 2 .,5,National museum
"Great place to explore and understand more about history of Singapore from a Kampong village to red dot island.
Ticket $15 (adult), $10 (student).
FoC for Singaporean.",5,National museum
,5,National museum
,5,National museum
,5,National museum
,4,National museum
,5,National museum
,5,National museum
,5,National museum
"Located in the vicinity of the Istana, the National Museum can easily be accessed by public transport. There are limited parking spots, so if you drive, go early to secure a lot. Otherwise, there are other parking alternatives such as Fort ?MoreLocated in the vicinity of the Istana, the National Museum can easily be accessed by public transport. There are limited parking spots, so if you drive, go early to secure a lot. Otherwise, there are other parking alternatives such as Fort Canning Park or YMCA.

There are always something going on at the National Museum. Piano performances, art work display and Doraemon exhibitions.

The venue is wheelchair friendly and it has a restaurant and a souvenir shop. Just avoid weekends and public holidays due to overwhelming crowds.",3,National museum
,5,National museum
"Singapore ????
Museum time
Rotunda won our heart Mystical images colourful and do transport u away from ?MoreSingapore ????
Museum time
Rotunda won our heart Mystical images colourful and do transport u away from reality from blooming garden to mystical wood

The other exhibit are the cute Doraemonsss
Kawaii Kawaii ????

From time to time a visit to the musuem always excite me and make me appreciate our life right now

Insta ju.rine",5,National museum
,5,National museum
,4,National museum
"What can I say about museum? It's either you  enjoy it or you find it bored.

And definitely it's about your companion, if they enjoy the whole museum ?MoreWhat can I say about museum? It's either you  enjoy it or you find it bored.

And definitely it's about your companion, if they enjoy the whole museum experience, then you will love the trip too. But if you ask me, it will definitely be a good trip if you have kids learning history/social studies about Singapore. It will broaden your exposure to information not available in the usual school textbooks.

If you are visiting and driving, your can park at ""Fort Canning Public Carpark A"", it's definitely cheaper option if you don't mind making a 10-20 minutes walk to the main entrance of the museum.",5,National museum
,3,National museum
,5,National museum
,3,National museum
,5,National museum
,5,National museum
,4,National museum
Visited the home truly exhibit. It was interactive with a free stylus pen provided. Nice family activity.,4,National museum
,3,National museum
"If you feel like going back in time or in a cultural mood, this is a nice place-cooling and relaxing.",5,National museum
,4,National museum
,5,National museum
"It must have been decades since I last stepped in here. It is quiet, peaceful and very clean. Walked through some exhibitions such as ""Story of the Forest"", ""Singapore, very old tree"" & ""Singapore history gallery"". It was a pity that ""Wings of a rich manoeuvre"" was not in operation today.",5,National museum
,5,National museum
"Interesting exhibits. Food in cafeteria is too expensive, though.",4,National museum
Good place to gain knowledge,5,National museum
,5,National museum
,5,National museum
,5,National museum
Good place to relax and learn about history and culture. Will be more visitor friendly if they have more parking lots for the public.,4,National museum
,4,National museum
"Very nice, airy, grand place to stay n spend time. As an ordinary people, nothing much to study deep. But a place to enjoy n relax is more important. Doraemon is an value added event.",4,National museum
Interesting place to learn the history of Singapore,5,National museum
"It is not the first time that we are visiting the NMS, but the museum never fails to give me a sense of freshness and renewal. This time round, NMS has cleverly interwoven Doraemon and the theme of travelling back in time into its ?MoreIt is not the first time that we are visiting the NMS, but the museum never fails to give me a sense of freshness and renewal. This time round, NMS has cleverly interwoven Doraemon and the theme of travelling back in time into its galleries. You first encounter a garden of Doraemon figurines on the lawn outside, before you step through Doraemon's time travelling door into the cool halls of NMS.  Doraemon features in the main lobby as well as in some of the galleries, adding a new twist to the idea of a museum being guardian of the past. The Doraemon exhibition is a temporary feature, so head down before the year draws to a close!",4,National museum
A great place for people who wants to know more about Singapore's history. Prepare to spend a good few hours if you want to have a good read.,5,National museum
Still one of my favourite places to take visitors and guests for an informative and enriching visit.,5,National museum
,5,National museum
"(Translated by Google) I'm ashamed to say that I didn't know the history of the Japanese massacre in Singapore until I came here. ?More(Translated by Google) I'm ashamed to say that I didn't know the history of the Japanese massacre in Singapore until I came here.

(Original)
????????????????????????????????????????????",4,National museum
,4,National museum
,5,National museum
,5,National museum
"(Translated by Google) It's fun, some history is very moving! Very suitable for taking children. ?More(Translated by Google) It's fun, some history is very moving! Very suitable for taking children.

(Original)
???????????????????????",5,National museum
Doraemon's exhibition is a hit with kids!,5,National museum
,4,National museum
The history of Singapore,5,National museum
"On 20/10/21, my wife and I went to visit the Singapore museum. After visting all the sections, we came across a penny pressed souvenir machine where you can choose to imprint the museum building or few other places of interest on the copper ?MoreOn 20/10/21, my wife and I went to visit the Singapore museum. After visting all the sections, we came across a penny pressed souvenir machine where you can choose to imprint the museum building or few other places of interest on the copper penny. The cost is $2 for each penny imprint. My wife scanned and pay with paywave but nothing happened. She scanned a second time but still its not working. We informed the security who seek help from the manager in charge. The manager later came and informed us the machine belongs to third party and they dont deal with third party. I was somehow intoxicated by his reply ""We dont deal with third party"". If you dont deal with third party, why you put the so called third party machine there? We were asked to scan the code and feedback to the relevant support dept via whatsapp. There is some spare penny already imprint inside the machine but they dont have the key to it. For this instance, if we are tourists coming to visit the museum, it will disgrace to the museum with this type service telling people you dont deal with third party and yet the machine is at your site. Please take this as a feedback. As a singaporean, we also dont want our singapore museum reputation and service get tarnished just because of a third party.",3,National museum
,5,National museum
,3,National museum
,3,National museum
Good place to let family visit.,5,National museum
A good hanging out place for family. Both educational and meaningful.,5,National museum
,5,National museum
,5,National museum
,5,National museum
Nice museum and great display,5,National museum
,4,National museum
Surprisingly we can view a lot of history and the living method of those peoples during that time,5,National museum
"Today saw a new exhibition, called Glass Rotunda: Story of the Forest. I liked this a lot.",4,National museum
Best in the World,5,National museum
,5,National museum
Learn history the fun way!,5,National museum
"Such a gorgeously curated museum.

Silly fact for those of you with kids who want to add some mystery... ?MoreSuch a gorgeously curated museum.

Silly fact for those of you with kids who want to add some mystery...

SPOOKY SINGAPORE TRAIL FACT
The spiral staircase that leads up onto the roof of the museum isn?t open to visitors anymore, but even if it was, it is said that a mysterious force would stop you when you tried and would trip you up.

Some claim to have seen a priest-like figure or museum director on the stairs and so now these stairs are only cleaned twice a week!",5,National museum
,5,National museum
,4,National museum
,5,National museum
,5,National museum
Month of August celebrating Singapore's birthday.,5,National museum
,5,National museum
,5,National museum
,5,National museum
"Great place to come, but the food in the cafeteria FOOD FOR THOUGHT is too expensive to consume, each/individual opinion no obligation.",5,National museum
Nice place to know Singapores' history. I hope they have more collaboration with other european museums.,4,National museum
,5,National museum
,5,National museum
The place is lovely though not much artifacts to see for a museum. Cute compared to large museums around the world like the British Museum. But they do try to compensate with special limited events such as the Doraemon exhibition.,4,National museum
,5,National museum
,5,National museum
,5,National museum
,5,National museum
Great leisure and educational place for the family. Wife was absorbed by the Syonan-To era shared by the museum. Can have a nice walk at the Peranakan museum stretch nearby too. The whole experience is heartening as a local. My only grouse ?MoreGreat leisure and educational place for the family. Wife was absorbed by the Syonan-To era shared by the museum. Can have a nice walk at the Peranakan museum stretch nearby too. The whole experience is heartening as a local. My only grouse is the terrible exposed warped raised floors that are the National Museum exhibition floor. What happened there???,5,National museum
Got Doraemon exhibition now,5,National museum
,5,National museum
Doraemon fans rejoice. Complete the event missions and get a free gift! Also take a leisure stroll through the place and enjoy the ambience with your loved ones.,4,National museum
,5,National museum
,4,National museum
Better than expected! Journey through the ups and downs in the history of Singapore till the recent times. Loved the Truly home exhibition. And it's free for Citizens and PR.,5,National museum
,4,National museum
,4,National museum
"I can spend hours here browsing the exhibitions ?? I really enjoy the gallery on Singapore's history, does give a really good overview of how the Singapore we know today came to be.",5,National museum
"Loved it!
But couldn't visit the 2nd floor, too late!",5,National museum
All Singaporean should visit,5,National museum
Love the Doraemon exhibition ??,5,National museum
